"recommended.pars.mtry","recommended.pars.min.node.size","recommended.pars.sample.fraction","recommended.pars.multiclass.brier","recommended.pars.exec.time"
3,9,0.589840986951359,0.545810951415898,0.181999999999999
3,15,0.708356801607311,0.544621618409792,0.156
3,13,0.648052404165815,0.544337210152401,0.17
3,11,0.676220357045194,0.545200410599243,0.173999999999999
3,15,0.706627481733462,0.544575067104756,0.168000000000001
3,9,0.557591264179023,0.544451078941888,0.156
3,16,0.733549447934184,0.54511993019792,0.160000000000008
3,13,0.611601403763931,0.545175097381758,0.162
4,9,0.541094640466173,0.545650571352612,0.170000000000002
4,12,0.610697768445159,0.545403068107117,0.162
3,13,0.636827058083619,0.544261293428453,0.156000000000003
3,12,0.611894237795717,0.543748281844852,0.165999999999997
3,8,0.564604927209,0.546710600569697,0.160000000000002
3,15,0.731902203257207,0.544251479706207,0.167999999999995
3,11,0.552599063231233,0.545144579438511,0.170000000000005
3,13,0.685444573137236,0.544370309395017,0.156
4,16,0.709746494920833,0.546604741298926,0.161999999999995
3,12,0.621879276480866,0.544622195334391,0.173999999999995
4,12,0.627223999023542,0.545383338138947,0.159999999999997
3,13,0.664989509333201,0.545079034438916,0.162
3,11,0.670775573902631,0.544761414171975,0.159999999999997
3,9,0.606345937614655,0.546297066756897,0.159999999999997
3,8,0.498720578346963,0.54674993343383,0.163999999999993
3,10,0.67025835904639,0.545742885356999,0.153999999999996
3,10,0.605092569570494,0.5452515018394,0.163999999999987
3,9,0.577425527018648,0.544754034939775,0.168000000000018
3,15,0.709059456883338,0.545051639158653,0.159999999999991
4,14,0.683715417330631,0.544849065651095,0.168000000000006
4,12,0.598303902117535,0.545302738674574,0.166000000000008
4,7,0.523345599419578,0.546969486190403,0.166000000000008
3,9,0.565835911130997,0.546072263734172,0.17199999999998
4,12,0.597181013840472,0.54472093564539,0.15999999999998
3,11,0.636757092460477,0.544371817015814,0.160000000000002
3,11,0.578465142186086,0.545647110249232,0.17199999999998
3,16,0.719993382064474,0.546330328653174,0.15999999999998
3,10,0.518145621303188,0.546390823986543,0.168000000000006
3,10,0.561141694280709,0.545245064999837,0.15200000000001
3,16,0.77495425942903,0.546356903489808,0.166000000000008
3,13,0.699489956296095,0.544980300435674,0.163999999999987
3,17,0.746542087117552,0.545593208217075,0.160000000000014
3,12,0.657671318405979,0.543928787105972,0.172000000000003
3,11,0.556207361819735,0.54522094300514,0.170000000000016
3,12,0.605097148144408,0.544117204155314,0.153999999999996
4,13,0.645552756269146,0.545198483875112,0.155999999999983
3,16,0.743560510203244,0.545554273658567,0.162000000000023
