"recommended.pars.mtry","recommended.pars.min.node.size","recommended.pars.sample.fraction","recommended.pars.multiclass.brier","recommended.pars.exec.time"
2,2,0.57248744752038,0.540120037890166,0.195999999999999
2,2,0.489850824081546,0.53961929217659,0.166000000000001
3,3,0.469873867045697,0.538866635959539,0.174
2,3,0.628664247745683,0.539466102751747,0.178
3,3,0.488742860072787,0.539958146527086,0.166
2,3,0.503972150820792,0.539945410654438,0.18
3,2,0.460493470563612,0.540624756431173,0.179999999999993
3,2,0.447421319164171,0.541342320855469,0.172000000000003
3,3,0.480758888916422,0.539432450598619,0.163999999999993
3,3,0.50666670825019,0.540847339194055,0.176000000000002
2,3,0.569202473584136,0.540566586318293,0.172
2,2,0.580854550744507,0.539747237419207,0.172000000000003
2,3,0.602047124594055,0.540294763474029,0.178000000000003
2,3,0.572804301674677,0.538506715890059,0.165999999999991
2,2,0.584785448787133,0.539564667842705,0.169999999999999
2,2,0.542466578159209,0.5392368371467,0.163999999999999
2,3,0.662258910763232,0.541055535241387,0.168000000000012
3,3,0.424165754216812,0.540177071490979,0.173999999999995
2,2,0.525949524326427,0.539614248627129,0.166000000000003
2,2,0.635591059667847,0.539601658033484,0.180000000000007
3,2,0.424875582874141,0.539680927674833,0.157999999999998
2,3,0.650291238346576,0.53930329722192,0.172000000000003
2,3,0.572173528706509,0.538640173766125,0.176000000000005
3,2,0.484423641318549,0.540963100370867,0.172000000000003
3,3,0.55073948327312,0.538706797112007,0.170000000000005
2,4,0.612117918363074,0.539810622982641,0.165999999999985
3,2,0.41548318373905,0.538461821319103,0.168000000000006
2,4,0.657595401129371,0.537569297233569,0.16400000000001
3,2,0.476777856526144,0.539757947776295,0.173999999999978
2,4,0.538172167376213,0.538962040157223,0.168000000000006
3,3,0.427574405768583,0.541029495295298,0.17600000000001
3,3,0.524609061108246,0.541284487730374,0.179999999999995
2,3,0.539795961671986,0.538505680064226,0.173999999999978
3,2,0.522559071034042,0.541706677897309,0.172000000000003
2,3,0.56433753639434,0.53940761700785,0.165999999999985
3,3,0.523786508468182,0.539617404639955,0.18599999999999
2,2,0.475584823982092,0.539362328143671,0.172000000000003
3,2,0.39853525116264,0.541520491998815,0.177999999999997
3,4,0.46568154241043,0.541519637006626,0.167999999999995
2,3,0.568727603078746,0.539703538415128,0.165999999999985
2,4,0.625984718702744,0.540872386003627,0.174000000000012
2,4,0.576660850874066,0.540507408828621,0.162
2,3,0.646525305772648,0.538956780350901,0.180000000000018
3,3,0.54291929474064,0.538436606637769,0.167999999999995
2,3,0.588404425227846,0.54052653909208,0.188
